"id","user_choice","carrier_1","carrier_2","amount_of_delays_1","amount_of_delays_2","amount_of_flights_1","amount_of_flights_2","chance_of_accident_1","chance_of_accident_2","chance_of_delay_1","chance_of_delay_2","mean_of_delay_1","mean_of_delay_2","number_of_accidents_1","number_of_accidents_2"
"613","1","Horizon","Continental","25049","4348960","88860","10412030","0.00","0.00","0.28","0.42","6.72","12.91","0","480"
"614","1","Delta","Horizon","294308014","25049","1020209890","88860","0.00","0.00","0.29","0.28","9.97","6.72","16170","0"
"615","1","Endeavor","9","1635432","1615","5993664","7800","0.00","0.00","0.27","0.21","10.87","2.97","279","0"
"616","1","Republic","Delux","2947750","579635","11138260","1483590","0.00","0.00","0.26","0.39","10.67","14.46","450","0"
"617","1","Delta","Allegiant","294308014","406062","1020209890","1161735","0.00","0.00","0.29","0.35","9.97","16.41","16170","135"
"618","1","Mesa","Envoy","611135","6369892","1803317","17740932","0.00","0.00","0.34","0.36","13.07","13.31","0","564"
"619","1","Mesa","Republic","611135","2947750","1803317","11138260","0.00","0.00","0.34","0.26","13.07","10.67","0","450"
"620","1","Delta","Delux","294308014","579635","1020209890","1483590","0.00","0.00","0.29","0.39","9.97","14.46","16170","0"
"621","1","USAirways","Spirit","1069473","2823656","3113545","8540784","0.00","0.00","0.34","0.33","9.55","14.37","90","648"
"622","1","USAirways","United","1069473","139137108","3113545","429971388","0.00","0.00","0.34","0.32","9.55","12.70","90","10890"
"623","1","Endeavor","United","1635432","139137108","5993664","429971388","0.00","0.00","0.27","0.32","10.87","12.70","279","10890"
"624","1","Delux","9","579635","1615","1483590","7800","0.00","0.00","0.39","0.21","14.46","2.97","0","0"
"625","1","Delta","Spirit","294308014","2823656","1020209890","8540784","0.00","0.00","0.29","0.33","9.97","14.37","16170","648"
"626","1","Sky","United","2882553","139137108","8819493","429971388","0.00","0.00","0.33","0.32","12.56","12.70","0","10890"
"627","1","Continental","Frontier","4348960","530019","10412030","1324472","0.00","0.00","0.42","0.40","12.91","14.50","480","0"
"628","1","Continental","Virgin","4348960","145536","10412030","389060","0.00","0.00","0.42","0.37","12.91","13.78","480","0"
"629","1","Delta","Virgin","294308014","145536","1020209890","389060","0.00","0.00","0.29","0.37","9.97","13.78","16170","0"
"630","1","Hawaiian","Allegiant","283846","406062","974254","1161735","0.00","0.00","0.29","0.35","4.97","16.41","0","135"
"631","1","Jetblue","Spirit","18165240","2823656","48988935","8540784","0.00","0.00","0.37","0.33","16.17","14.37","2475","648"
"632","1","Comair","Virgin","512409","145536","1418873","389060","0.00","0.00","0.36","0.37","14.28","13.78","81","0"
"633","1","9","Virgin","1615","145536","7800","389060","0.00","0.00","0.21","0.37","2.97","13.78","0","0"
"634","1","Jetblue","Frontier","18165240","530019","48988935","1324472","0.00","0.00","0.37","0.40","16.17","14.50","2475","0"
"635","1","Northwest","Allegiant","1338000","406062","3203925","1161735","0.00","0.00","0.42","0.35","12.10","16.41","120","135"
"636","1","Horizon","Delux","25049","579635","88860","1483590","0.00","0.00","0.28","0.39","6.72","14.46","0","0"
"637","1","Endeavor","Atlantic","1635432","11143434","5993664","31170774","0.00","0.00","0.27","0.36","10.87","15.97","279","918"
"638","1","United","Spirit","139137108","2823656","429971388","8540784","0.00","0.00","0.32","0.33","12.70","14.37","10890","648"
"639","1","Atlantic","Alaska","11143434","3681525","31170774","11763350","0.00","0.00","0.36","0.31","15.97","7.98","918","825"
"640","1","Continental","Sky","4348960","2882553","10412030","8819493","0.00","0.00","0.42","0.33","12.91","12.56","480","0"
"641","1","Delta","Virgin","294308014","145536","1020209890","389060","0.00","0.00","0.29","0.37","9.97","13.78","16170","0"
"642","1","United","Endeavor","139137108","1635432","429971388","5993664","0.00","0.00","0.32","0.27","12.70","10.87","10890","279"
